ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: yikes_woo_products_tabs" 
,simple,,"ИВ2143 — Листогибочная машина 2011 г.в.",1,0,visible,"В продаже Листогибочная машина ИВ2143 2011 года выпуска. Станок практически новый, с малой наработкой, почти не использовался.","Цена на ИВ2143 пресс гибочный указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить вальцы можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,400000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/02/Iv2143.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_5.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_6.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_7.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_8.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_10.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_11.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143-12.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_2.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_3.jpg, https://st-ok.ru/wp-content/uploads/2019/02/Iv2143_4.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:1035:""<table width=""444""><tbody><tr><td width=""338"">Номинальное усилие пресса, кН</td><td width=""106"">40</td></tr><tr><td>Наибольшая толщина изгибаемого листа, мм</td><td>5</td></tr><tr><td>Наибольшая ширина изгибаемого листа, мм</td><td>2000</td></tr><tr><td>Наибольший ход прижимной балки, мм</td><td>250</td></tr><tr><td>Наибольший угол поворота, рад</td><td>180</td></tr><tr><td>Величина регилировки гибочной балки, мм</td><td>100</td></tr><tr><td>Величина регулировки стола, мм</td><td>100</td></tr><tr><td>Наибольшая величина перемещ. зад. упора, мм**</td><td>800</td></tr><tr><td>Масса, кг*</td><td>5580</td></tr><tr><td>Потребляемая мощность, Кв</td><td>10</td></tr><tr><td>Габариты (ВхШхГ), мм*</td><td>2400х2000х3300</td></tr></tbody></table>"";}}"
,simple,,"FMB PEGASUS Ленточнопильный станок с рольгангом (Италия)",1,0,visible,"В продаже Ленточно-пильный станок FMB PEGASUS пр-во Италия, рольганд в комплекте. В отличном состоянии.","Цена на станок FMB PEGASUS указана с учетом погрузки на ваш транспорт. Купить б/у станок можно после осмотра, который проводится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,380000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_4.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_6.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_7.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_8.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_9.jpg, https://st-ok.ru/wp-content/uploads/2019/03/FMB-PEGASUS_5.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"ИВ2144 — Листогибочная машина",1,0,visible,"В продаже Листогибочная машина ИВ2144. Станок в очень хорошем состоянии, гидравлика в идеале, гидростанция новая.","Цена на ИВ2144 пресс гибочный указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить вальцы можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,270000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/Iv2144-1.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Iv2144_2-1.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Iv2144_3-1.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Iv2144_5-1.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Iv2144_6-1.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Iv2144_7-1.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"И2220 Вальцы трехвалковые листогибочные",1,0,visible,"В продаже трехвалковые вальцы И2220. В хорошем состоянии, с проверкой в работе.","Цена на трехвалковые вальцы И2220 указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить И2220 можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,220000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/I2220.jpg, https://st-ok.ru/wp-content/uploads/2019/03/I2220_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/I2220_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/I2220_4.jpg, https://st-ok.ru/wp-content/uploads/2019/03/I2220_5.jpg, https://st-ok.ru/wp-content/uploads/2019/03/I2220_6.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"ИВ2142 — Листогибочная машина",1,0,visible,"В продаже Листогибочная машина ИВ2142. Станок в очень хорошем состоянии, гидравлика в идеале.","Цена на ИВ2142 пресс гибочный указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить вальцы можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,200000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/IV2142.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142_4.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142_5.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142_6.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142_7.jpg, https://st-ok.ru/wp-content/uploads/2019/03/IV2142-3.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"LENP 63A Пресс однокривошипный механический, усилие 63т (пр-во Чехословакия)",1,0,visible,"В продаже Механический пресс LENP 63A. Производство — Чехословакия, усилие 63т.","Цена на пресс LENP 63A указана с учетом погрузки на ваш транспорт. Купить б/у станок можно после осмотра, который проводится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,135000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2018/05/Press-ENP63.jpg, https://st-ok.ru/wp-content/uploads/2018/05/Press-ENP63_2.jpg, https://st-ok.ru/wp-content/uploads/2018/05/Press-ENP63_3.jpg, https://st-ok.ru/wp-content/uploads/2018/05/Press-ENP63_4.jpg, https://st-ok.ru/wp-content/uploads/2018/05/Press-ENP63_5.jpg",,,,,,,,,0,
,simple,,"П6328Б Пресс гидравлический одностоечный 63т",1,0,visible,"В продаже Гидравлический Пресс П6328Б. Усилие 63 тн. В отличном состоянии, с оснасткой","Цена на станок П6328Б указана с учетом погрузки на ваш транспорт. Купить б/у станок можно после осмотра, который проводится по предварительной записи по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,120000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/p6328B.jpg, https://st-ok.ru/wp-content/uploads/2019/03/p6328B_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/p6328B_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/p6328B_4.jpg, https://st-ok.ru/wp-content/uploads/2019/03/p6328B_6.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"КД2326Е Пресс однокривошипный механический",1,0,visible,"В продаже Механический пресс КД2326Е. В хорошем рабочем состоянии.","Цена на пресс КД-2326Е указана с учетом погрузки на ваш транспорт. Подключен и готов к проверке. Купить КД2326Е можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,120000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/KD2326e.jpg, https://st-ok.ru/wp-content/uploads/2019/03/KD2326e_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/KD2326e_4.jpg, https://st-ok.ru/wp-content/uploads/2019/03/KD2326e_5.jpg, https://st-ok.ru/wp-content/uploads/2019/03/KD2326e_2.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
,simple,,"УГС-6 Трубогибочный станок, 2014 г.в.",1,0,visible,"В продаже Трубогибочный станок УГС-6 1А. Станок новый, с хранения.","Цена на УГС-6 указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить станок можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,80000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/UGS-61A.jpg, https://st-ok.ru/wp-content/uploads/2019/03/UGS-61A_5.jpg, https://st-ok.ru/wp-content/uploads/2019/03/UGS-61A_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/UGS-61A_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/UGS-61A_4.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:1026:""<table border=""1"" cellspacing=""0"" cellpadding=""4""><tbody><tr><td>№</td><td>Наименование</td><td>Параметры</td></tr><tr><td>1</td><td>Диаметр изгибаемых труб, дюймы (мм):</td><td>3/8» до 2» (17-60)</td></tr><tr><td>2</td><td>Двигатель, В/Гц/Вт,</td><td>380/50/3000</td></tr><tr><td>3</td><td>Частота вращения гибочного инструмента, об/мин.</td><td>3,2</td></tr><tr><td>4</td><td>Время цикла при гибки на 180x в полуавтоматическом режиме,сек.</td><td>20</td></tr><tr><td>5</td><td>Максимальный угол гиба, град.</td><td>180x</td></tr><tr><td>6</td><td>Габаритные размеры ДхШхВ, (мм):<br> — c пультом управления<br> — без пульта управления</td><td> 775х610х1140<br> 775х610х1045</td></tr><tr><td>7</td><td>Масса механизма, (кг)</td><td>380</td></tr></tbody></table>"";}}"
,simple,,"КД2324Е Пресс однокривошипный механический",1,0,visible,"В продаже Механический пресс КД2324Е. В хорошем рабочем состоянии.","Цена на пресс КД-2324Е указана с учетом погрузки на ваш транспорт. Подключен и готов к проверке. Купить КД2324Е можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,80000,Прессы,,,"https://st-ok.ru/wp-content/uploads/2019/03/Kd2324e.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Kd2324e_2.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Kd2324e_3.jpg, https://st-ok.ru/wp-content/uploads/2019/03/Kd2324e_4.jpg",,,,,,,,,0,"a:1:{i:0;a:3:{s:5:""title"";s:51:""Технические характеристики"";s:2:""id"";s:27:""tehnicheskie-harakteristiki"";s:7:""content"";s:0:"""";}}"
